
2025/02/14 (09:07:34) | ===> btop++ v.1.4.0
2025/02/14 (09:07:34) | WARNING: Failed to set locale UTF-8 continuing anyway.

2025/02/14 (09:12:46) | ===> btop++ v.1.4.0
2025/02/14 (09:12:46) | WARNING: Failed to set locale UTF-8 continuing anyway.
2025/02/14 (09:15:39) | INFO: Logger set to INFO
2025/02/14 (09:15:40) | INFO: Logger set to DEBUG
2025/02/14 (09:15:42) | INFO: Logger set to DEBUG
2025/02/14 (09:15:46) | INFO: Logger set to INFO
2025/02/14 (09:15:48) | INFO: Logger set to DEBUG
2025/02/14 (09:15:50) | INFO: Logger set to DEBUG
2025/02/14 (09:21:14) | DEBUG: Loading theme file: /opt/homebrew/Cellar/btop/1.4.0/share/btop/themes/monokai.theme
2025/02/14 (09:21:15) | DEBUG: Loading theme file: /opt/homebrew/Cellar/btop/1.4.0/share/btop/themes/monokai.theme
2025/02/14 (09:21:22) | DEBUG: Loading theme file: /opt/homebrew/Cellar/btop/1.4.0/share/btop/themes/monokai.theme
2025/02/14 (09:21:23) | DEBUG: Loading theme file: /opt/homebrew/Cellar/btop/1.4.0/share/btop/themes/monokai.theme
2025/02/14 (09:21:45) | INFO: Logger set to DEBUG
2025/02/14 (09:21:47) | DEBUG: Loading theme file: /opt/homebrew/Cellar/btop/1.4.0/share/btop/themes/nord.theme
2025/02/14 (09:21:48) | DEBUG: Loading theme file: /opt/homebrew/Cellar/btop/1.4.0/share/btop/themes/dracula.theme
2025/02/14 (09:21:49) | DEBUG: Loading theme file: /opt/homebrew/Cellar/btop/1.4.0/share/btop/themes/greyscale.theme
2025/02/14 (09:21:50) | DEBUG: Loading theme file: /opt/homebrew/Cellar/btop/1.4.0/share/btop/themes/solarized_light.theme
2025/02/14 (09:21:51) | DEBUG: Loading theme file: /opt/homebrew/Cellar/btop/1.4.0/share/btop/themes/adwaita.theme
2025/02/14 (09:21:51) | DEBUG: Loading theme file: /opt/homebrew/Cellar/btop/1.4.0/share/btop/themes/solarized_light.theme
2025/02/14 (09:21:52) | DEBUG: Loading theme file: /opt/homebrew/Cellar/btop/1.4.0/share/btop/themes/greyscale.theme
2025/02/14 (09:21:53) | DEBUG: Loading theme file: /opt/homebrew/Cellar/btop/1.4.0/share/btop/themes/solarized_light.theme
2025/02/14 (09:21:53) | DEBUG: Loading theme file: /opt/homebrew/Cellar/btop/1.4.0/share/btop/themes/adwaita.theme
2025/02/14 (09:21:54) | DEBUG: Loading theme file: /opt/homebrew/Cellar/btop/1.4.0/share/btop/themes/everforest-dark-medium.theme
2025/02/14 (09:21:54) | DEBUG: Loading theme file: /opt/homebrew/Cellar/btop/1.4.0/share/btop/themes/gruvbox_light.theme
2025/02/14 (09:21:55) | DEBUG: Loading theme file: /opt/homebrew/Cellar/btop/1.4.0/share/btop/themes/everforest-dark-medium.theme
2025/02/14 (09:21:56) | DEBUG: Loading theme file: /opt/homebrew/Cellar/btop/1.4.0/share/btop/themes/gruvbox_light.theme
2025/02/14 (09:21:57) | DEBUG: Loading theme file: /opt/homebrew/Cellar/btop/1.4.0/share/btop/themes/horizon.theme
2025/02/14 (09:21:57) | DEBUG: Loading theme file: /opt/homebrew/Cellar/btop/1.4.0/share/btop/themes/tokyo-night.theme
2025/02/14 (09:21:59) | DEBUG: Loading theme file: /opt/homebrew/Cellar/btop/1.4.0/share/btop/themes/tomorrow-night.theme
